"Observed","Predicted"
"7",1.5,1.4713130355532
"38",1.12,1.14872133538646
"46",1.24,1.21141817798316
"58",0.76,0.788739843962984
"39",1.02,1.04866333809765
"12",1.6,1.57127955864971
"52",1.62,1.59131736723539
"6",1.32,1.29131612550182
"67",1.28,1.25128242714741
"59",0.96,0.988847464257186
"60",1.34,1.31120370695342
"66",0.96,0.988690997178334
"5",1.52,1.49124750222736
"47",1.26,1.23129722075201
"64",0.8,0.828667355088301
"41",0.96,0.988652011491885
"23",1.46,1.43122536302139
"63",0.8,0.828771376067801
"18",0.9,0.928725437276966
"3",1.68,1.65128003012948
"57",0.72,0.748626404626182
"40",1.06,1.08868332286633
"26",0.8,0.828582455262213
"36",1.08,1.10863599549427
"37",1.3,1.27128314460803
"22",1.42,1.39139164998803
"31",1.26,1.23129149621592
"34",1.18,1.2088482784446
"19",1.3,1.27131168768777
"4",1.32,1.2913131427499
"43",1,1.02870549684504
"56",1.68,1.65120865181967
"9",0.84,0.868676206348124
"50",0.76,0.788701985341924
"61",0.86,0.888753330985724
"65",1.4,1.37135775975125
"53",1.08,1.10883071841828
"42",1.08,1.10865571279289
"15",1.4,1.37127582808311
"2",1.94,1.91130654575848
"33",1.22,1.19133773300145
"27",1.34,1.31119034082043
"35",0.98,1.00867448364508
"16",1.42,1.39129839076143
"30",1.14,1.16288968798116
"17",1.34,1.31130940086976
"62",0.9,0.92868618700963
