"Row","Sample_ID","X","Y","Fe","Mn","Zn","Cu","b2_reflectance","b3_reflectance","b4_reflectance","b5_reflectance","b6_reflectance","b7_reflectance","ci_mean_kh","FlowAcc_kh","gndvi_mean_kh","ndvi_mean_kh","PlanCur_kh","ProflCur_kh","satind_mean_kh","sgsi_mean_kh","slope_kh","spi_kh","Twi_kh","aoi_dem_clip_khavr","Sen_B02_30m_aoi","Sen_B03_Mean_30m_aoi","Sen_B04_Mean_30m_aoi","Sen_B05_Mean_30m_aoi","Sen_B06_Mean_30m_aoi","Sen_B07_Mean_30m_aoi","Sen_B08_Mean_30m_aoi","Sen_B08A_Mean_30m_aoi","Sen_B11_Mean_30m_aoi","Sen_B12_Mean_30m_aoi","ClayInd_Mean_Sentinel_khavr","GNDVI_Mean_Sentinel_khavr","MSAVI2_Mean_Sentinel_khavr","NDVI_Mean_Sentinel_khavr","Saturation_Mean_Sentinel_khavr","SGSI_Mean_Sentinel_khavr","Clay_khavr","pH_khavr","Sand_khavr","srad_khavr","bio_15_khavr","bio_12_khavr","bio_1_khavr"
34,"34 SNP",682900,3998463,1.7,9.9,0.3,0.84,0.10905,0.16476,0.22474,0.32676,0.31697,0.25078,0.06704,0,0.17899,0.10499,0.06667,0.17778,0.15742,0.05455,3.5843,3.48414,3.31826,1279,1267,1829,2627,3021,3214,3443,3717,3721,3440,2602,0.15333,0.3831,-0.07284,0.26411,0.30614,0.10196,20.7139,7.65545,46.7658,210817,80.1664,295,12.1958
203,"203 SNP",676699,4000645,3,4.64,5.62,0.76,0.07965,0.12629,0.15013,0.3613,0.26698,0.1919,0.08773,0,0.26477,0.23172,0.31111,-0.24444,0.11176,0.02492,3.33333,3.35472,3.44768,1246,887,1368,1604,2148,3366,3779,3772,3968,2901,2107,0.13309,0.41769,-0.06299,0.33158,0.2863,0.07651,23.3643,8.06188,33.6399,210868,79.9409,294,12.075
249,"249 SNP",683270,3998626,2.4,7.28,2.7,0.86,0.07376,0.11787,0.13616,0.27729,0.21641,0.16308,0.06842,0,0.20041,0.17343,0,0,0.1022,0.01971,0,3.16859,3.63381,1285,1192,1407,1623,1814,1962,2021,2997,2048,2196,1912,0.16344,0.4764,-0.04972,0.43143,0.26712,0.04332,25.7198,7.87506,39.483,210945,80.2377,294,12.2208
275,"275 SNP",682940,3997593,1.6,7.34,0.62,1.4,0.08421,0.13393,0.17243,0.31673,0.26294,0.19925,0.07345,0,0.21309,0.1605,0,0,0.13444,0.03888,0,4.89923,1.90316,1268,901,1335,1728,2228,3110,3444,3794,3666,2649,1953,0.15264,0.46343,-0.05965,0.35773,0.3149,0.09839,26.9615,8.20542,33.005,210925,80.4291,294,12.2333
215,"215 SNP",678527,3999764,2.74,4.18,10.46,1.08,0.06824,0.11853,0.13292,0.3445,0.23527,0.16715,0.08502,2,0.26157,0.241,0.02778,0.02778,0.1074,0.0155,2.42956,4.44701,4.55261,1265,782,1217,1323,1870,3102,3524,4194,3762,2541,1767,0.15798,0.46856,-0.04899,0.43801,0.17343,0.02742,14.3566,8.04181,54.3599,210855,79.9409,294,12.0542
179,"179 SNP",675779,4001370,1.9,2.82,1.18,1.08,0.11727,0.17139,0.21927,0.29698,0.30289,0.25889,0.04573,13,0.14433,0.08469,-0.11111,0.11111,0.13826,0.04311,2.35702,6.57259,5.50792,1240,1491,2020,2592,2924,3055,3174,3379,3293,3444,2970,0.08531,0.26339,-0.09546,0.13424,0.29372,0.10233,22.5092,8.02555,39.4147,210776,79.9409,294,12.0708
68,"68 SNP",684186,3994638,1.9,7.56,0.46,1.4,0.10698,0.16784,0.22501,0.38179,0.32731,0.24602,0.08584,6,0.22519,0.15897,-0.13889,0.08333,0.15507,0.04929,1.76777,6.9389,3.75532,1255,1224,1838,2570,2995,3563,3957,4234,4222,3720,2762,0.15236,0.39237,-0.07788,0.24513,0.3551,0.12872,28.8792,7.74207,36.9545,211006,80.5313,291,12.3333
4,"4 SNP",683685,3995893,3.5,21.06,0.68,1.94,0.05847,0.09615,0.10594,0.33917,0.20972,0.13913,0.09453,1,0.29028,0.27542,0,0.11111,0.08387,0.01125,1.31762,5.4564,2.73229,1255,510,931,917,1572,3193,3649,3710,3824,2322,1509,0.2135,0.60675,-0.03035,0.61107,0.28411,-0.00673,30.5631,7.88371,33.724,210863,80.1408,291,12.3
132,"132 SNP",672878,4003198,1.6,4.58,1.16,1.22,0.05504,0.08908,0.09868,0.32599,0.22188,0.13897,0.10899,0,0.29051,0.27551,0,-0.11111,0.07876,0.01137,1.66667,3.58044,3.22195,1227,882,1296,1694,2077,2792,3023,3078,3306,2917,2078,0.19537,0.53589,-0.04248,0.49368,0.3143,0.04433,24.9148,7.90851,39.645,210787,79.8017,295,12.0875
108,"108 SNP",671389,4003896,1.94,9.92,0.74,1.34,0.07112,0.11185,0.13627,0.32712,0.24369,0.17098,0.08918,3,0.25654,0.22108,0,-0.11111,0.10704,0.02652,1.66667,6.29593,3.27905,1222,511,924,993,1809,3061,3480,3603,3729,2608,1691,0.11847,0.30715,-0.09001,0.16297,0.32853,0.1176,23.449,7.72022,40.166,210781,79.8017,295,12.0125
147,"147 SNP",675637,4003645,1.38,3.62,7.44,0.98,0.04456,0.07704,0.07437,0.33875,0.18321,0.10558,0.11285,5,0.32059,0.32498,0,0,0.05726,-0.00342,0,6.20803,4.17788,1249,325,672,518,1072,3096,3658,3824,3892,2014,1105,0.2831,0.70172,-0.01774,0.75221,0.21024,-0.08657,24.0164,7.95704,39.0996,210839,79.5231,296,12.0625
71,"71 SNP",684521,3996306,2.26,11.4,0.5,1.42,0.08281,0.12654,0.16025,0.32385,0.25799,0.19531,0.0736,2,0.23193,0.185,0,0.11111,0.12032,0.03472,1.66667,2.62667,6.37295,1260,587,1024,1142,1859,3173,3597,3434,3786,2589,1789,0.18364,0.57265,-0.03857,0.537,0.31699,0.03466,30.7924,7.79469,38.8297,210902,80.5,293,12.3125
119,"119 SNP",672973,4003692,1.34,2.86,0.48,1.14,0.08949,0.13814,0.1833,0.29393,0.25865,0.21063,0.05554,1,0.1871,0.12619,0,0.33333,0.13924,0.04454,4.24918,5.08698,3.10171,1233,945,1430,1775,2256,2991,3289,3217,3383,2717,2203,0.1227,0.39209,-0.07064,0.2954,0.30084,0.08009,25.2727,7.83859,37.6131,210855,79.8017,295,12.0875
75,"75 SNP",684615,3995435,3.26,9.28,0.38,1.34,0.11507,0.17425,0.23546,0.33892,0.34054,0.25705,0.08118,138,0.17691,0.10438,0,0,0.15785,0.05343,1.17851,10.0584,6.61297,1259,1358,1983,2738,3189,3430,3610,3692,3915,3868,2877,0.14398,0.32473,-0.08773,0.18066,0.33287,0.11927,30.3258,7.67114,29.8304,210968,80.1464,292,12.3167
258,"258 SNP",681885,3998044,2.44,9.58,1.24,0.9,0.03653,0.06329,0.05449,0.35938,0.16869,0.08595,0.12642,1,0.35966,0.37433,0,0.11111,0.03657,-0.0117,1.66667,5.19893,2.98976,1269,310,647,504,1119,3058,3712,3591,3975,2021,1101,0.31241,0.72652,-0.01449,0.79443,0.21218,-0.13097,13.632,7.91597,47.6497,210736,80.1664,295,12.1708
