Fe,Mn,Zn,Cu,b2_reflectance,b3_reflectance,b4_reflectance,b5_reflectance,b6_reflectance,b7_reflectance,ci_mean_kh,FlowAcc_kh,gndvi_mean_kh,ndvi_mean_kh,PlanCur_kh,ProflCur_kh,satind_mean_kh,sgsi_mean_kh,slope_kh,spi_kh,Twi_kh,aoi_dem_clip_khavr,Sen_B02_30m_aoi,Sen_B03_Mean_30m_aoi,Sen_B04_Mean_30m_aoi,Sen_B05_Mean_30m_aoi,Sen_B06_Mean_30m_aoi,Sen_B07_Mean_30m_aoi,Sen_B08_Mean_30m_aoi,Sen_B08A_Mean_30m_aoi,Sen_B11_Mean_30m_aoi,Sen_B12_Mean_30m_aoi,ClayInd_Mean_Sentinel_khavr,GNDVI_Mean_Sentinel_khavr,MSAVI2_Mean_Sentinel_khavr,NDVI_Mean_Sentinel_khavr,Saturation_Mean_Sentinel_khavr,SGSI_Mean_Sentinel_khavr,Clay_khavr,pH_khavr,Sand_khavr,srad_khavr,bio_15_khavr,bio_12_khavr,bio_1_khavr
2.56000,4.60000,9.22000,1.24000,0.12981,0.17703,0.21676,0.27856,0.30273,0.26926,0.03438,0.00000,0.11851,0.06888,0.00000,-0.33333,0.11650,0.03535,5.00000,4.88322,1.91917,1287.00000,1450.00000,1875.00000,2322.00000,2542.00000,2812.00000,2977.00000,3043.00000,3175.00000,3276.00000,2863.00000,0.07055,0.23485,-0.09220,0.15490,0.20900,0.06123,16.52460,8.06179,44.12690,210628.00000,80.13810,299.00000,12.02080
2.88000,5.26000,11.56000,1.26000,0.07374,0.11419,0.12959,0.29701,0.22823,0.16655,0.07764,129.00000,0.22526,0.20243,0.00000,0.22222,0.09257,0.01679,3.33333,8.44560,8.09186,1283.00000,933.00000,1391.00000,1669.00000,2116.00000,2790.00000,3016.00000,3222.00000,3116.00000,2646.00000,2136.00000,0.17091,0.48631,-0.05111,0.42023,0.30348,0.06468,14.73940,8.02966,49.23480,210594.00000,80.19940,298.00000,11.96250
2.46000,5.16000,5.02000,0.82000,0.10949,0.16424,0.20607,0.28983,0.27446,0.22589,0.05315,3.00000,0.14536,0.09241,0.00000,-0.22222,0.13450,0.03835,3.33333,4.20359,5.37140,1270.00000,1125.00000,1612.00000,2030.00000,2614.00000,2885.00000,3112.00000,3136.00000,3146.00000,3046.00000,2483.00000,0.15189,0.43481,-0.05436,0.39502,0.25797,0.03631,15.14340,8.08461,49.45300,210855.00000,80.46390,297.00000,12.00830
3.82000,4.74000,3.26000,1.32000,0.06436,0.10377,0.11235,0.35113,0.22059,0.14848,0.09381,0.00000,0.28910,0.27632,0.00000,0.00000,0.08313,0.00969,0.00000,4.33908,2.46331,1250.00000,1278.00000,1881.00000,2210.00000,2578.00000,3287.00000,3555.00000,3748.00000,3731.00000,3117.00000,2575.00000,0.22444,0.64836,-0.02482,0.67245,0.28425,-0.04033,20.04340,8.11270,36.84130,210950.00000,79.94090,294.00000,12.09580
3.00000,4.64000,5.62000,0.76000,0.07965,0.12629,0.15013,0.36130,0.26698,0.19190,0.08773,0.00000,0.26477,0.23172,0.31111,-0.24444,0.11176,0.02492,3.33333,3.35472,3.44768,1246.00000,887.00000,1368.00000,1604.00000,2148.00000,3366.00000,3779.00000,3772.00000,3968.00000,2901.00000,2107.00000,0.13309,0.41769,-0.06299,0.33158,0.28630,0.07651,23.36430,8.06188,33.63990,210868.00000,79.94090,294.00000,12.07500
2.98000,6.20000,10.58000,1.10000,0.10236,0.15041,0.18343,0.28653,0.26937,0.21852,0.05720,1.00000,0.16254,0.11841,0.00000,-0.22222,0.11820,0.03187,3.33333,5.39674,2.79195,1268.00000,856.00000,1316.00000,1508.00000,2032.00000,2835.00000,3141.00000,2956.00000,3265.00000,2697.00000,2073.00000,0.18924,0.55168,-0.03825,0.53209,0.28618,0.02136,13.33330,8.14443,57.34700,210855.00000,79.94090,294.00000,12.05420
2.48000,8.14000,0.82000,1.62000,0.11100,0.16300,0.20436,0.27108,0.27537,0.23313,0.04645,0.00000,0.12953,0.07620,0.11111,-0.11111,0.13047,0.03833,2.35702,3.93354,2.86886,1305.00000,1301.00000,1821.00000,2261.00000,2567.00000,2791.00000,2893.00000,2662.00000,2990.00000,2950.00000,2520.00000,0.08530,0.26065,-0.09098,0.15854,0.26725,0.08076,11.64010,7.74011,58.54050,210837.00000,80.19940,298.00000,11.91670
2.74000,4.18000,10.46000,1.08000,0.06824,0.11853,0.13292,0.34450,0.23527,0.16715,0.08502,2.00000,0.26157,0.24100,0.02778,0.02778,0.10740,0.01550,2.42956,4.44701,4.55261,1265.00000,782.00000,1217.00000,1323.00000,1870.00000,3102.00000,3524.00000,4194.00000,3762.00000,2541.00000,1767.00000,0.15798,0.46856,-0.04899,0.43801,0.17343,0.02742,14.35660,8.04181,54.35990,210855.00000,79.94090,294.00000,12.05420
2.64000,8.36000,1.46000,0.96000,0.08523,0.13212,0.15984,0.29533,0.23557,0.17983,0.06872,656.00000,0.19721,0.15862,-0.25000,0.19444,0.11532,0.02821,4.12479,10.37140,9.40640,1264.00000,1058.00000,1514.00000,1771.00000,2121.00000,2869.00000,3102.00000,3586.00000,3272.00000,2552.00000,1999.00000,0.17745,0.52696,-0.04232,0.49512,0.27444,0.03311,14.32860,8.02858,53.89630,210795.00000,79.94080,295.00000,12.00830
3.52000,4.76000,13.94000,0.76000,0.11532,0.16867,0.21594,0.25922,0.26984,0.23758,0.03555,2.00000,0.10939,0.04952,0.00000,0.00000,0.13744,0.04294,0.00000,-2.40795,11.40760,1276.00000,1272.00000,1773.00000,2388.00000,2607.00000,2649.00000,2736.00000,2765.00000,2772.00000,2954.00000,2603.00000,0.07349,0.19968,-0.10710,0.07695,0.26873,0.09414,13.96440,8.04654,55.53420,210795.00000,79.94080,295.00000,12.00830
2.38000,5.16000,10.10000,1.68000,0.13223,0.18932,0.23852,0.29198,0.31744,0.28070,0.03681,0.00000,0.11650,0.05747,0.19608,-0.35948,0.13790,0.04241,4.60223,4.43902,2.36337,1282.00000,1545.00000,2023.00000,2593.00000,2837.00000,2916.00000,3006.00000,2936.00000,3109.00000,3432.00000,3017.00000,0.05797,0.18056,-0.10905,0.06874,0.24411,0.08464,12.75180,7.98977,54.99220,211153.00000,80.78770,295.00000,11.97080
3.00000,17.54000,13.90000,0.72000,0.11840,0.17593,0.22026,0.31301,0.30900,0.24864,0.06271,0.00000,0.15367,0.09907,-0.02222,-0.13333,0.13746,0.03964,3.95285,3.72518,3.07722,1298.00000,1350.00000,1794.00000,2324.00000,2599.00000,2753.00000,2890.00000,3367.00000,3109.00000,3305.00000,2726.00000,0.12242,0.35457,-0.07381,0.25959,0.25394,0.07877,16.01060,7.99345,50.17130,211212.00000,80.68510,297.00000,11.96670
3.58000,4.40000,1.54000,0.76000,0.08443,0.12401,0.15899,0.25738,0.26338,0.22589,0.04239,1.00000,0.17123,0.12191,0.00000,-0.33333,0.11481,0.03555,5.00000,5.22018,2.96851,1288.00000,1170.00000,1693.00000,2167.00000,2576.00000,3003.00000,3194.00000,3594.00000,3314.00000,3194.00000,2732.00000,0.06233,0.33727,-0.08643,0.18349,0.31808,0.12609,20.10900,8.01834,40.39620,210726.00000,80.16640,295.00000,12.02920
2.56000,9.88000,6.66000,0.96000,0.06725,0.10470,0.11339,0.33166,0.22383,0.14812,0.09804,136.00000,0.27132,0.25828,0.11111,0.11111,0.07943,0.00979,3.33333,8.60713,8.03523,1276.00000,1031.00000,1506.00000,1700.00000,2097.00000,2898.00000,3243.00000,3530.00000,3359.00000,2665.00000,1991.00000,0.22704,0.65527,-0.02425,0.67521,0.24476,-0.02787,12.23210,7.81766,55.90100,210736.00000,80.42910,294.00000,12.15000
2.14000,5.74000,1.12000,1.34000,0.10993,0.16531,0.22039,0.29371,0.29690,0.24000,0.06098,3.00000,0.14910,0.08002,-0.17778,0.15556,0.15104,0.05018,2.63523,5.33960,4.23539,1283.00000,1255.00000,1808.00000,2462.00000,2779.00000,2885.00000,3045.00000,2876.00000,3163.00000,3254.00000,2586.00000,0.12094,0.30818,-0.08879,0.17084,0.30932,0.11161,17.65740,7.81467,48.95380,210736.00000,80.33460,296.00000,12.07920
2.40000,7.28000,2.70000,0.86000,0.07376,0.11787,0.13616,0.27729,0.21641,0.16308,0.06842,0.00000,0.20041,0.17343,0.00000,0.00000,0.10220,0.01971,0.00000,3.16859,3.63381,1285.00000,1192.00000,1407.00000,1623.00000,1814.00000,1962.00000,2021.00000,2997.00000,2048.00000,2196.00000,1912.00000,0.16344,0.47640,-0.04972,0.43143,0.26712,0.04332,25.71980,7.87506,39.48300,210945.00000,80.23770,294.00000,12.22080
2.44000,9.58000,1.24000,0.90000,0.03653,0.06329,0.05449,0.35938,0.16869,0.08595,0.12642,1.00000,0.35966,0.37433,0.00000,0.11111,0.03657,-0.01170,1.66667,5.19893,2.98976,1269.00000,310.00000,647.00000,504.00000,1119.00000,3058.00000,3712.00000,3591.00000,3975.00000,2021.00000,1101.00000,0.31241,0.72652,-0.01449,0.79443,0.21218,-0.13097,13.63200,7.91597,47.64970,210736.00000,80.16640,295.00000,12.17080
1.38000,4.20000,0.98000,0.80000,0.12893,0.19435,0.25224,0.34395,0.34755,0.29629,0.04931,6.00000,0.15911,0.09177,-0.27778,0.16667,0.15790,0.04925,3.53553,5.62877,5.06544,1249.00000,1430.00000,2041.00000,2653.00000,3069.00000,3390.00000,3519.00000,3902.00000,3653.00000,3784.00000,3210.00000,0.08268,0.28279,-0.09098,0.15837,0.29945,0.09989,26.46170,8.08610,34.86750,210329.00000,80.43010,293.00000,12.18330
2.34000,6.18000,1.66000,0.80000,0.09769,0.15283,0.19834,0.32605,0.28447,0.22958,0.06005,0.00000,0.19565,0.13689,0.16667,-0.05556,0.14452,0.04339,1.17851,4.39638,2.40602,1256.00000,1129.00000,1658.00000,2277.00000,2638.00000,2939.00000,3140.00000,3266.00000,3330.00000,3154.00000,2574.00000,0.09747,0.32768,-0.08691,0.18162,0.33580,0.12163,26.90590,8.11381,33.04820,210425.00000,80.42910,294.00000,12.22080
1.60000,7.34000,0.62000,1.40000,0.08421,0.13393,0.17243,0.31673,0.26294,0.19925,0.07345,0.00000,0.21309,0.16050,0.00000,0.00000,0.13444,0.03888,0.00000,4.89923,1.90316,1268.00000,901.00000,1335.00000,1728.00000,2228.00000,3110.00000,3444.00000,3794.00000,3666.00000,2649.00000,1953.00000,0.15264,0.46343,-0.05965,0.35773,0.31490,0.09839,26.96150,8.20542,33.00500,210925.00000,80.42910,294.00000,12.23330
1.74000,7.86000,1.32000,0.96000,0.04104,0.07088,0.06626,0.33369,0.17373,0.09662,0.11506,0.00000,0.32645,0.33410,0.22222,-0.11111,0.04974,-0.00593,1.31762,4.02854,2.77386,1272.00000,379.00000,732.00000,641.00000,1200.00000,2935.00000,3446.00000,3619.00000,3683.00000,1977.00000,1162.00000,0.19634,0.49351,-0.04761,0.45075,0.22857,0.04174,23.50220,8.14931,36.92170,210925.00000,80.16640,295.00000,12.19580
1.38000,6.52000,7.84000,1.28000,0.10426,0.15637,0.21267,0.31554,0.32542,0.24897,0.07941,48.00000,0.18359,0.11246,0.00000,0.22222,0.15001,0.05204,3.33333,8.21824,6.36780,1256.00000,1185.00000,1674.00000,2359.00000,2682.00000,2925.00000,3102.00000,3283.00000,3405.00000,3561.00000,2738.00000,0.13568,0.35292,-0.08537,0.19130,0.34090,0.13592,28.13210,7.94845,31.22990,210425.00000,80.43010,293.00000,12.25830
1.48000,4.72000,1.42000,0.94000,0.12582,0.18926,0.26046,0.34090,0.35226,0.29847,0.05094,97.00000,0.16145,0.07900,0.00000,0.00000,0.17104,0.06053,0.00000,9.10032,6.87201,1247.00000,1420.00000,2030.00000,2854.00000,3240.00000,3355.00000,3536.00000,3996.00000,3701.00000,3847.00000,3233.00000,0.08504,0.28809,-0.09725,0.12617,0.33581,0.13104,29.15230,7.91246,27.15040,210175.00000,80.43010,293.00000,12.25000
