Fe,Mn,Zn,Cu,b2_reflectance,b3_reflectance,b4_reflectance,b5_reflectance,b6_reflectance,b7_reflectance,ci_mean_kh,FlowAcc_kh,gndvi_mean_kh,ndvi_mean_kh,PlanCur_kh,ProflCur_kh,satind_mean_kh,sgsi_mean_kh,slope_kh,spi_kh,Twi_kh,aoi_dem_clip_khavr,Sen_B02_30m_aoi,Sen_B03_Mean_30m_aoi,Sen_B04_Mean_30m_aoi,Sen_B05_Mean_30m_aoi,Sen_B06_Mean_30m_aoi,Sen_B07_Mean_30m_aoi,Sen_B08_Mean_30m_aoi,Sen_B08A_Mean_30m_aoi,Sen_B11_Mean_30m_aoi,Sen_B12_Mean_30m_aoi,ClayInd_Mean_Sentinel_khavr,GNDVI_Mean_Sentinel_khavr,MSAVI2_Mean_Sentinel_khavr,NDVI_Mean_Sentinel_khavr,Saturation_Mean_Sentinel_khavr,SGSI_Mean_Sentinel_khavr,Clay_khavr,pH_khavr,Sand_khavr,srad_khavr,bio_15_khavr,bio_12_khavr,bio_1_khavr
2.66000,9.80000,0.58000,1.60000,0.09983,0.15189,0.19526,0.29382,0.28092,0.22039,0.06738,1.00000,0.16737,0.11055,-0.05556,-0.05556,0.13706,0.04135,4.85913,5.37854,2.81015,1263.00000,1254.00000,1748.00000,2188.00000,2438.00000,2681.00000,2848.00000,2908.00000,2947.00000,2996.00000,2489.00000,0.09248,0.25572,-0.09277,0.14852,0.27085,0.08457,23.35310,7.56587,41.15530,211047.00000,80.53130,291.00000,12.33330
2.64000,6.52000,0.86000,1.22000,0.12478,0.18855,0.24872,0.34904,0.35902,0.27974,0.07514,6.00000,0.16958,0.09960,0.00000,0.22222,0.15909,0.05139,2.63523,6.64652,4.04770,1265.00000,1523.00000,2181.00000,2920.00000,3303.00000,3579.00000,3773.00000,4068.00000,3986.00000,4015.00000,3089.00000,0.12702,0.28970,-0.09204,0.15327,0.31247,0.11017,26.86620,7.68446,37.37900,211047.00000,80.53130,291.00000,12.33330
3.10000,18.08000,0.46000,1.82000,0.13162,0.20656,0.28252,0.38693,0.39265,0.30405,0.07926,0.00000,0.17917,0.09619,0.00000,-0.11111,0.18397,0.06164,1.66667,4.28025,2.52215,1267.00000,1731.00000,2528.00000,3520.00000,3960.00000,4159.00000,4329.00000,4361.00000,4522.00000,4444.00000,3400.00000,0.12906,0.28080,-0.09749,0.12377,0.33944,0.12650,24.00170,7.69193,38.69960,211047.00000,80.53130,291.00000,12.33330
1.90000,7.56000,0.46000,1.40000,0.10698,0.16784,0.22501,0.38179,0.32731,0.24602,0.08584,6.00000,0.22519,0.15897,-0.13889,0.08333,0.15507,0.04929,1.76777,6.93890,3.75532,1255.00000,1224.00000,1838.00000,2570.00000,2995.00000,3563.00000,3957.00000,4234.00000,4222.00000,3720.00000,2762.00000,0.15236,0.39237,-0.07788,0.24513,0.35510,0.12872,28.87920,7.74207,36.95450,211006.00000,80.53130,291.00000,12.33330
2.26000,11.40000,0.50000,1.42000,0.08281,0.12654,0.16025,0.32385,0.25799,0.19531,0.07360,2.00000,0.23193,0.18500,0.00000,0.11111,0.12032,0.03472,1.66667,2.62667,6.37295,1260.00000,587.00000,1024.00000,1142.00000,1859.00000,3173.00000,3597.00000,3434.00000,3786.00000,2589.00000,1789.00000,0.18364,0.57265,-0.03857,0.53700,0.31699,0.03466,30.79240,7.79469,38.82970,210902.00000,80.50000,293.00000,12.31250
3.26000,9.28000,0.38000,1.34000,0.11507,0.17425,0.23546,0.33892,0.34054,0.25705,0.08118,138.00000,0.17691,0.10438,0.00000,0.00000,0.15785,0.05343,1.17851,10.05840,6.61297,1259.00000,1358.00000,1983.00000,2738.00000,3189.00000,3430.00000,3610.00000,3692.00000,3915.00000,3868.00000,2877.00000,0.14398,0.32473,-0.08773,0.18066,0.33287,0.11927,30.32580,7.67114,29.83040,210968.00000,80.14640,292.00000,12.31670
4.22000,4.44000,0.42000,0.90000,0.10016,0.15475,0.19977,0.31626,0.30457,0.23335,0.07588,32.00000,0.18474,0.12686,0.00000,0.00000,0.14185,0.04250,0.00000,7.94790,5.84751,1274.00000,1235.00000,1776.00000,2352.00000,2708.00000,2980.00000,3168.00000,3266.00000,3380.00000,3403.00000,2583.00000,0.13459,0.30988,-0.08675,0.18069,0.30942,0.10533,24.35320,7.76316,41.48690,210838.00000,79.74950,295.00000,12.30830
2.50000,10.26000,1.16000,1.30000,0.06172,0.10165,0.11141,0.38845,0.25012,0.16380,0.10761,0.00000,0.31945,0.30525,0.00000,-0.11111,0.08594,0.01075,1.66667,4.45608,2.34631,1236.00000,385.00000,767.00000,562.00000,1312.00000,4128.00000,4931.00000,4159.00000,5001.00000,2473.00000,1382.00000,0.19613,0.53986,-0.04297,0.49403,0.24566,0.04522,22.94710,7.69196,40.64800,210948.00000,79.69340,297.00000,11.91250
1.96000,9.76000,0.78000,1.32000,0.09840,0.15591,0.20535,0.32740,0.30878,0.24019,0.07161,2.00000,0.19292,0.13002,0.00000,0.00000,0.15144,0.04643,0.00000,1.99981,6.99981,1223.00000,1253.00000,1871.00000,2578.00000,2929.00000,3221.00000,3392.00000,3416.00000,3598.00000,3486.00000,2740.00000,0.13487,0.34110,-0.08521,0.19072,0.34649,0.12585,24.19450,7.73870,40.80520,210867.00000,79.80170,295.00000,12.06250
1.86000,5.54000,0.48000,1.46000,0.12016,0.18423,0.25295,0.33397,0.34797,0.29217,0.05308,0.00000,0.16134,0.08099,0.02778,0.02778,0.17071,0.05899,2.42956,3.61947,3.18293,1207.00000,1356.00000,1940.00000,2730.00000,3040.00000,3170.00000,3308.00000,3339.00000,3498.00000,3753.00000,3034.00000,0.12436,0.29375,-0.09513,0.13667,0.33652,0.12717,23.75330,7.70551,42.65220,210578.00000,79.81840,294.00000,12.20830
1.92000,3.04000,0.50000,1.42000,0.10712,0.16402,0.22702,0.30443,0.31290,0.27102,0.04375,0.00000,0.16211,0.08362,0.00000,0.00000,0.16313,0.05734,1.17851,4.28716,2.51524,1205.00000,1137.00000,1682.00000,2360.00000,2709.00000,2890.00000,3026.00000,3114.00000,3156.00000,3236.00000,2776.00000,0.05655,0.29686,-0.09465,0.13893,0.34473,0.12834,23.59140,7.69951,42.50750,210290.00000,79.81840,294.00000,12.20830
2.32000,16.44000,0.86000,1.46000,0.10880,0.16762,0.23436,0.32124,0.31615,0.26813,0.04792,1.00000,0.17207,0.09050,0.00000,0.11111,0.16836,0.05985,1.66667,5.19893,2.98976,1215.00000,1350.00000,1944.00000,2772.00000,3092.00000,3281.00000,3391.00000,3446.00000,3497.00000,3528.00000,3003.00000,0.07306,0.27688,-0.10034,0.10928,0.34314,0.13438,24.09740,7.71059,39.09640,210708.00000,79.80170,295.00000,12.16250
2.58000,15.20000,0.60000,1.66000,0.10385,0.16311,0.21712,0.32137,0.32564,0.25609,0.07130,0.00000,0.17929,0.11190,0.00000,-0.11111,0.15616,0.04950,1.66667,4.57175,2.23064,1244.00000,1250.00000,1766.00000,2394.00000,2656.00000,3122.00000,3320.00000,3294.00000,3529.00000,3357.00000,2583.00000,0.10157,0.32390,-0.08358,0.19874,0.30558,0.10280,22.32720,7.71639,39.29680,210670.00000,80.04630,298.00000,11.90000
2.30000,10.68000,0.66000,0.78000,0.09211,0.14656,0.19809,0.30223,0.28015,0.24710,0.03617,1.00000,0.18374,0.11632,0.00000,-0.11111,0.15331,0.04947,1.66667,5.26490,2.92379,1233.00000,1238.00000,1767.00000,2306.00000,2592.00000,3035.00000,3155.00000,3151.00000,3241.00000,3130.00000,2772.00000,0.07348,0.34364,-0.08586,0.18900,0.34449,0.12924,23.44230,7.73930,38.01180,211081.00000,79.54020,295.00000,11.99170
1.24000,3.04000,0.42000,0.80000,0.11064,0.17172,0.23989,0.32896,0.33009,0.27176,0.05854,0.00000,0.17433,0.09178,0.00000,0.11111,0.17187,0.06067,1.17851,4.88502,1.91738,1221.00000,1317.00000,1905.00000,2692.00000,2984.00000,3165.00000,3231.00000,3032.00000,3390.00000,3524.00000,2903.00000,0.12028,0.29167,-0.09521,0.13492,0.33858,0.12686,24.15800,7.70270,39.72110,210781.00000,79.81840,294.00000,12.10830
1.94000,9.92000,0.74000,1.34000,0.07112,0.11185,0.13627,0.32712,0.24369,0.17098,0.08918,3.00000,0.25654,0.22108,0.00000,-0.11111,0.10704,0.02652,1.66667,6.29593,3.27905,1222.00000,511.00000,924.00000,993.00000,1809.00000,3061.00000,3480.00000,3603.00000,3729.00000,2608.00000,1691.00000,0.11847,0.30715,-0.09001,0.16297,0.32853,0.11760,23.44900,7.72022,40.16600,210781.00000,79.80170,295.00000,12.01250
1.80000,8.54000,0.98000,1.12000,0.05457,0.09134,0.10055,0.34260,0.20491,0.13487,0.09501,0.00000,0.30020,0.28598,0.13889,-0.08333,0.08270,0.01075,1.76777,3.85874,2.94366,1242.00000,597.00000,1026.00000,1059.00000,1668.00000,3218.00000,3689.00000,3680.00000,3874.00000,2403.00000,1584.00000,0.19019,0.58674,-0.03564,0.55714,0.28778,0.03332,23.12430,7.76326,37.83710,211081.00000,79.54020,295.00000,11.99170
1.56000,8.12000,1.80000,0.94000,0.07431,0.11405,0.14447,0.31301,0.24374,0.17837,0.07963,0.00000,0.24030,0.19659,0.15556,-0.17778,0.11293,0.03244,3.17324,4.18354,2.61885,1236.00000,904.00000,1368.00000,1773.00000,2114.00000,3021.00000,3366.00000,3694.00000,3586.00000,2822.00000,1953.00000,0.18581,0.50381,-0.05070,0.42261,0.32794,0.08088,23.75270,7.76429,39.42310,211081.00000,79.54020,295.00000,11.99170
1.34000,2.86000,0.48000,1.14000,0.08949,0.13814,0.18330,0.29393,0.25865,0.21063,0.05554,1.00000,0.18710,0.12619,0.00000,0.33333,0.13924,0.04454,4.24918,5.08698,3.10171,1233.00000,945.00000,1430.00000,1775.00000,2256.00000,2991.00000,3289.00000,3217.00000,3383.00000,2717.00000,2203.00000,0.12270,0.39209,-0.07064,0.29540,0.30084,0.08009,25.27270,7.83859,37.61310,210855.00000,79.80170,295.00000,12.08750
1.76000,7.48000,0.36000,1.26000,0.08575,0.13349,0.18805,0.29902,0.29313,0.22235,0.07757,324.00000,0.19740,0.12419,0.00000,0.22222,0.15109,0.05389,3.33333,9.01005,9.36000,1236.00000,979.00000,1474.00000,2051.00000,2450.00000,2887.00000,3124.00000,3236.00000,3342.00000,3177.00000,2409.00000,0.15514,0.42908,-0.07113,0.28611,0.36590,0.12596,24.71000,7.77013,35.90020,211042.00000,79.71380,296.00000,11.98750
2.74000,1.64000,1.56000,0.82000,0.07739,0.11963,0.14562,0.30952,0.23615,0.18211,0.06605,1.00000,0.22903,0.19174,0.00000,-0.11111,0.10942,0.02752,2.12459,5.07570,3.11299,1232.00000,1314.00000,1818.00000,2363.00000,2607.00000,2902.00000,3020.00000,2882.00000,3152.00000,3206.00000,2814.00000,0.10473,0.34973,-0.07650,0.24117,0.26300,0.08941,24.34050,7.91686,38.92530,210787.00000,79.80170,295.00000,12.08750
1.60000,4.58000,1.16000,1.22000,0.05504,0.08908,0.09868,0.32599,0.22188,0.13897,0.10899,0.00000,0.29051,0.27551,0.00000,-0.11111,0.07876,0.01137,1.66667,3.58044,3.22195,1227.00000,882.00000,1296.00000,1694.00000,2077.00000,2792.00000,3023.00000,3078.00000,3306.00000,2917.00000,2078.00000,0.19537,0.53589,-0.04248,0.49368,0.31430,0.04433,24.91480,7.90851,39.64500,210787.00000,79.80170,295.00000,12.08750
1.66000,2.92000,1.22000,1.18000,0.11779,0.17703,0.24578,0.34049,0.35061,0.28931,0.05849,0.00000,0.17751,0.09549,0.08889,0.20000,0.16755,0.06020,3.53553,3.85737,2.94502,1232.00000,1512.00000,2134.00000,2958.00000,3321.00000,3576.00000,3723.00000,3826.00000,3955.00000,3929.00000,3109.00000,0.08649,0.30851,-0.09375,0.14283,0.34093,0.13465,24.85350,7.95267,39.00480,210764.00000,79.52310,296.00000,12.13750
1.38000,3.62000,7.44000,0.98000,0.04456,0.07704,0.07437,0.33875,0.18321,0.10558,0.11285,5.00000,0.32059,0.32498,0.00000,0.00000,0.05726,-0.00342,0.00000,6.20803,4.17788,1249.00000,325.00000,672.00000,518.00000,1072.00000,3096.00000,3658.00000,3824.00000,3892.00000,2014.00000,1105.00000,0.28310,0.70172,-0.01774,0.75221,0.21024,-0.08657,24.01640,7.95704,39.09960,210839.00000,79.52310,296.00000,12.06250
1.32000,4.48000,2.18000,1.08000,0.04940,0.08446,0.08982,0.33702,0.19969,0.12054,0.10993,0.00000,0.30714,0.29865,0.28205,-0.27350,0.07499,0.00653,5.43267,4.07205,2.73034,1247.00000,376.00000,714.00000,665.00000,1265.00000,2880.00000,3368.00000,3438.00000,3631.00000,2232.00000,1316.00000,0.16474,0.46904,-0.05811,0.36770,0.31026,0.09408,26.29790,7.97087,39.39980,210839.00000,79.52310,296.00000,12.06250
2.82000,4.40000,0.70000,1.30000,0.09843,0.14953,0.20150,0.30647,0.30031,0.23797,0.06646,1.00000,0.18309,0.11556,0.00000,0.00000,0.14692,0.04940,1.76777,5.88033,2.30836,1235.00000,1179.00000,1702.00000,2328.00000,2668.00000,2946.00000,3114.00000,3112.00000,3258.00000,3335.00000,2708.00000,0.12225,0.33137,-0.08610,0.18462,0.32925,0.12108,25.05690,7.97380,38.40270,210630.00000,79.52310,296.00000,12.12080
1.90000,5.86000,0.98000,1.12000,0.08372,0.12497,0.14801,0.24569,0.22490,0.18330,0.05143,0.00000,0.15667,0.12311,0.00000,-0.11111,0.10167,0.02408,1.66667,4.50000,3.50000,1258.00000,1134.00000,1422.00000,1664.00000,1926.00000,2155.00000,2249.00000,2575.00000,2261.00000,2416.00000,2165.00000,0.17778,0.52629,-0.04134,0.50532,0.26183,0.02109,20.75430,8.04028,37.28480,210802.00000,79.88240,297.00000,12.05420
2.08000,5.54000,1.78000,1.02000,0.04426,0.07657,0.07261,0.32443,0.17791,0.10487,0.10702,11.00000,0.30856,0.31510,0.00000,0.00000,0.05481,-0.00505,4.71405,6.41844,5.35376,1247.00000,266.00000,625.00000,438.00000,1045.00000,3018.00000,3539.00000,3578.00000,3760.00000,1856.00000,984.00000,0.13883,0.41986,-0.05908,0.36066,0.23678,0.05194,21.29790,7.99582,41.58220,210848.00000,79.52310,296.00000,12.06250
2.32000,4.10000,3.08000,1.06000,0.10729,0.16614,0.22158,0.33507,0.34384,0.25719,0.08574,6.00000,0.18567,0.11754,0.00000,0.11111,0.15576,0.05023,1.66667,6.36701,4.32721,1238.00000,1400.00000,1991.00000,2712.00000,2980.00000,3241.00000,3387.00000,3508.00000,3617.00000,3803.00000,3021.00000,0.10650,0.30168,-0.09163,0.15432,0.32098,0.12001,26.63710,8.00200,37.75520,210799.00000,79.52310,296.00000,12.08330
1.82000,4.16000,1.06000,0.96000,0.05982,0.09574,0.10575,0.32091,0.20359,0.13693,0.09001,5.00000,0.27560,0.26027,0.00000,0.11111,0.08095,0.01152,1.66667,5.48372,4.90219,1268.00000,445.00000,804.00000,737.00000,1362.00000,3046.00000,3532.00000,3708.00000,3712.00000,2161.00000,1343.00000,0.15690,0.48516,-0.04932,0.43521,0.25355,0.04809,20.74240,8.15568,42.13140,210843.00000,79.88240,297.00000,12.04170
1.90000,2.82000,1.18000,1.08000,0.11727,0.17139,0.21927,0.29698,0.30289,0.25889,0.04573,13.00000,0.14433,0.08469,-0.11111,0.11111,0.13826,0.04311,2.35702,6.57259,5.50792,1240.00000,1491.00000,2020.00000,2592.00000,2924.00000,3055.00000,3174.00000,3379.00000,3293.00000,3444.00000,2970.00000,0.08531,0.26339,-0.09546,0.13424,0.29372,0.10233,22.50920,8.02555,39.41470,210776.00000,79.94090,294.00000,12.07080
2.84000,4.36000,8.56000,1.00000,0.11702,0.17524,0.22479,0.30465,0.31634,0.27462,0.04203,1.00000,0.14684,0.08570,0.00000,-0.22222,0.14524,0.04435,3.33333,5.40270,2.78599,1253.00000,1520.00000,2091.00000,2662.00000,2968.00000,3129.00000,3220.00000,3278.00000,3284.00000,3404.00000,3085.00000,0.09054,0.27374,-0.09497,0.13682,0.30571,0.10938,18.57250,8.02007,41.91600,210848.00000,79.94090,294.00000,12.07080
2.20000,3.84000,12.32000,1.04000,0.05790,0.09134,0.09623,0.32456,0.19699,0.12959,0.09288,1.00000,0.28559,0.27801,0.00000,0.44444,0.06901,0.00566,5.89256,5.53011,2.65858,1268.00000,584.00000,914.00000,930.00000,1402.00000,2864.00000,3355.00000,3789.00000,3513.00000,2121.00000,1356.00000,0.23885,0.64590,-0.02466,0.67140,0.25180,-0.03586,19.15770,8.05943,45.12080,210719.00000,79.83350,299.00000,12.04170
2.26000,6.22000,7.74000,1.18000,0.11884,0.17615,0.23060,0.31667,0.33268,0.27828,0.05378,2.00000,0.15684,0.09054,0.00000,0.11111,0.14889,0.04828,1.66667,5.48496,3.51465,1255.00000,1259.00000,1796.00000,2358.00000,2702.00000,2943.00000,3083.00000,3126.00000,3273.00000,3303.00000,2714.00000,0.10267,0.29085,-0.09229,0.15504,0.30381,0.11104,19.02610,8.08172,41.14920,210871.00000,79.88870,295.00000,12.05830
